"Erika Alexander—Philadelphia
"Veronica Hamel—Philadelphia
"Kevin Hart—Philadelphia
"Tim Heidecker—Allentown
"Sherman Hemsley—Philadelphia
"Lauren Holly—Bristol
"Gillian Jacobs—Mt. Lebanon
"Anthony Jeselnik—Pittsburgh / Upper St. Clair
"Cherie Johnson—Pittsburgh
"Clark Johnson—Philadelphia
"Russell Johnson—Ashley
"Johnny Jolin—Montoursville
"Angela Jones—Greensburg
"Shirley Jones—Charleroi
"Mario Joyner—Pittsburgh
"James Karen—Wilkes-Barre
"Tim Kazurinsky—Johnstown
"Staci Keanan–Devon
"Michael Keaton—Pittsburgh
"Sheila Kelley—Greensburg
"Gene Kelly—Pittsburgh
"Grace Kelly (Princess of Monaco)—Philadelphia
"Michael Kelly—Philadelphia
"Jamie Kennedy—Upper Darby
"Rya Kihlstedt—Lancaster
"Daniel Dae Kim—Bethlehem
"Taylor Kinney—Lancaster
"Jack Klugman—Philadelphia
"Eddie Korbich—Shamokin
"Harley Jane Kozak—Wilkes-Barre
"Jack Krizmanich—Phoenixville
"Liz Larsen—Philadelphia
"Andrew Lawrence—Philadelphia
"Joey Lawrence—Philadelphia
"Matthew Lawrence—Abington Township
"Joshua Leonard—State College
"Richard LeParmentier—Pittsburgh
"David Lewis—Philadelphia
"Gilbert Lewis—Philadelphia
"Christina Bennett Lind—Upland
"Heather Lind—Upland
"Jonathan Loughran—Philadelphia
"Beverly Lynne—Sellersville
"Jeanette MacDonald—Philadelphia
"Aline MacMahon—Pittsburgh
"Connor Maloney—Harrisburg
"Joe Manganiello—Pittsburgh / Mt. Lebanon
"Jayne Mansfield—Bryn Mawr
"Bam Margera—West Chester
"Mark Margolis—Philadelphia
"Hugh Marlowe—Philadelphia
"Adoni Maropis—Pittsburgh
"Joe Maross—Barnesboro
"Lynne Marta—Philadelphia
"Al Martino—Philadelphia
"Eric Martsolf—Harrisburg
"Jackie Mason—Latrobe
"Mark Matkevich—Philadelphia
"Elaine May—Philadelphia
"Melanie Mayron—Philadelphia
"Mitzi McCall—Pittsburgh
"Brooke McCarter—Philadelphia
"Paul McCrane—Philadelphia / Richboro
"Ann McCrea—DuBois
"Mary McDonnell—Wilkes-Barre
"Rob McElhenney—Philadelphia
"Joel McHale—Philadelphia
"Frank McHugh—Allegheny County
"Kate McNeil—Philadelphia
"Larry Mendte—Lansdowne
"Adolphe Menjou—Pittsburgh
"Charles Meredith—Knoxville
"Mary Lou Metzger—Philadelphia
"James A Michener—Doylestown
"Kate Micucci—Nazareth
"Vic Mignogna—Pittsburgh
"R. A. Mihailoff—Townville
"Dennis Miller—Pittsburgh
"Jason Miller—Scranton
"Lara Jill Miller—Allentown
"Kristin Minter—Yardley
"Cameron Mitchell—Dallastown
"Tom Mix—Mix Run
"Katherine Moennig—Philadelphia
"Kelly Monaco—Philadelphia
"Pauline Moore—Harrisburg
"Jillian Murray—Reading
"Kelly Neal—Philadelphia
"Irene Ng—Allentown
"Greg Nicotero—Pittsburgh
"J. J. North—Philadelphia
"Jay Oakerson—Philadelphia
"Cheri Oteri—Upper Darby
"Jerry Orbach—Wilkes-Barre
"Beth Ostrosky—Pittsburgh
"Jack Palance—Hazle Township
"Stuart Pankin—Philadelphia
"Sydney Park—Philadelphia
"Adrian Pasdar—Powelton Village
"Steven Pasquale—Hershey
"Michele Pawk—Butler
"Pamela Payton-Wright—Pittsburgh
"Kelly Perine—State College
"Robert Picardo—Philadelphia
"Pink (Alecia Moore)—Doylestown
"Joel Polis—Philadelphia
"Jon Polito—Philadelphia
"William Powell—Pittsburgh
"Robert Prosky—Philadelphia
"Zachary Quinto—Pittsburgh
"James Rebhorn—Philadelphia
"Krysten Ritter—Bloomsburg / Shickshinny
"Erica Rivera—Philadelphia
"Keith Robinson—Philadelphia
"Holly Robinson-Peete—Philadelphia
"Daniel Roebuck—Bethlehem
"Fred Rogers—Latrobe
"George A. Romero—Pittsburgh
"Norman Rose—Philadelphia
"Zelda Rubinstein—Pittsburgh
"Herbert Rudley—Philadelphia
"Bob Saget—Philadelphia
"Diane Salinger—Philadelphia
"Richard Sanders—Harrisburg
"Tom Savini—Pittsburgh
"Jennifer Sciole—Philadelphia
"Lizabeth Scott—Scranton
"David O. Selznick—Pittsburgh
"Amanda Seyfried—Allentown
"Craig Sheffer—York
"M. Night Shyamalan—Philadelphia
"Penny Singleton—Philadelphia
"Emil Sitka—Johnstown
"Jonathan Slavin—Wilkes-Barre
"Kerr Smith—Exton
"Will Smith—Philadelphia
"Dana Snyder—Allentown
"Timothy Stack—Doylestown
"Robert Sterling—New Castle
"James Stewart—Indiana
"Sharon Stone—Meadville area
"Joseph Sweeney—Philadelphia
"Christine Taylor—Allentown
"Holland Taylor—Philadelphia
"Teller—Philadelphia
"Miles Teller—Downingtown
"Mary Testa—Philadelphia
"Jonathan Taylor Thomas—Bethlehem
"Paul F. Tompkins—Philadelphia
"William Tracy—Pittsburgh
"Tom Verica—Philadelphia
"Mike Vogel—Abington / Warminster
"Brendon Walsh—Philadelphia
"Lisa Waltz—Limerick
"Eric Wareheim—Audubon
"Fritz Weaver—Pittsburgh
"Michael Willis—Lancaster
"Thomas F. Wilson—Philadelphia / Wayne
"Danny Woodburn—Philadelphia
"Chris Young—Chambersburg
"Winter Ave Zoli—New Hope
"Julian Abele, architect—Philadelphia
"Alice Aycock, sculptor—Harrisburg
"Edmund Bacon, architect—Philadelphia
"Paul Bartholomew, architect—Ligonier
"Karen Bausman, architect—Allentown
"Alison Bechdel, graphic novelist—Beech Creek
"Cecilia Beaux, painter—Philadelphia
"Alexander Calder, sculptor—Lawnton
"Mary Cassatt, painter—Allegheny City
"George Catlin, painter—Wilkes-Barre
"Stuart Davis, painter—Philadelphia
"Charles Demuth, painter—Lancaster
"Steve Ditko, comic book artist—Johnstown
"Thomas Eakins, painter—Philadelphia
"William Glackens, painter—Philadelphia
"Martha Graham, modern dancer and choreographer—Allegheny City
"Keith Haring, painter—Reading
"Jerry Harris, sculptor—Pittsburgh
"William Stanley Haseltine, painter—Philadelphia
"Mike Hawthorne, comic book artist, illustrator—York City
"Martin Johnson Heade, painter—Lumberville
"Gelsey Kirkland, ballerina—Bethlehem
"Franz Kline, painter—Wilkes-Barre
"Jeff Koons, sculptor—York
"Nate Lewis (artist), visual artist—Beaver Falls
"Thaddeus Mosley, sculptor—Pittsburgh
"Alice Neel, painter—Colwyn
"Violet Oakley, painter—Philadelphia
"Maxfield Parrish, illustrator—Philadelphia
"Philip Pearlstein, painter—Pittsburgh
"Joseph Pennell, illustrator—Philadelphia
"Man Ray, artist and photographer—Philadelphia
"Charles Sheeler, painter, photographer—Philadelphia
"Grover Simcox, illustrator—Philadelphia
"John Sloan, painter—Lock Haven
"Gary Mark Smith, global street photographer—Kutztown
"Jeff Smith, cartoonist—McKees Rocks
"Andy Warhol, pop culture artist—Pittsburgh
"Neil Welliver, landscape artist—Millville
"Andrew Wyeth, painter—Chadds Ford Township
"Jamie Wyeth, painter (son of Andrew)—Chadds Ford Township
"N.C. Wyeth, illustrator (father of Andrew)—Chadds Ford Township
"Bunny Yeager, photographer—Wilkinsburg
"Jerome Apt, NASA astronaut—Pittsburgh
"Guion S. Bluford, astronaut, first African-American man in space—Philadelphia
"Pete Conrad, Gemini, Apollo, and Skylab astronaut, third man to walk on the Moon—Philadelphia
"Michael Fincke—Pittsburgh
"Theodore Freeman, Group 3 astronaut; killed in training jet accident—Haverford
"Terry Hart, NASA astronaut—Pittsburgh
"James Irwin, Apollo 15—Pittsburgh
"Glynn Lunney, NASA engineer—Old Forge
"David Medved, trained astronaut and physicist—Philadelphia
"Paul W. Richards, Shuttle and ISS astronaut—Dunmore
"Patricia Hilliard Robertson, 1998 Astronaut Group; killed in private airplane accident—Indiana
"Daniel M. Tani, engineer, NASA astronaut—Ridley Park
"Joseph A. Walker, USAF/NASA astronaut, United States' seventh man in space—Washington
"Paul J. Weitz, Skylab and Shuttle astronaut—Erie
"John Abramovic, professional basketball player—Pittsburgh
"Cal Abrams (1924–1997), Major League Baseball player—Philadelphia
"Matt Adams, professional baseball player—Philipsburg, Centre County
"Herb Adderley, HOF professional football player—Philadelphia
"Eddie Alvarez, professional mixed martial artist—Philadelphia
"Rubén Amaro Jr. (born 1965), Major League Baseball player, General Manager, and coach—Philadelphia
"Joe Amato, professional drag racer—Old Forge
"John Andretti, NASCAR driver—Bethlehem
"Marco Andretti, auto racing driver—Nazareth
"Michael Andretti, auto racing driver—Bethlehem
"Kurt Angle, professional wrestler—Pittsburgh
"Paul Arizin, HOF professional basketball player—Philadelphia
"LaVar Arrington, professional football player—Pittsburgh
"Cameron Artis-Payne, professional football player—Harrisburg
"Al Babartsky, professional football player—Shenandoah
"Bob Babich, professional football coach—Aliquippa
"Kayla Bashore, Olympic field hockey player—Hamburg
"Ralph Baker, professional football player—Lewistown
"Saquon Barkley, professional football player—Bethlehem
"Charlie Batch, professional football player—Homestead
"William Beatty, professional football player—York
"Aaron Beasley, professional football player—Pottstown
"Joe Beimel, professional baseball player—Kersey
"Stan Belinda, professional baseball player—Huntingdon
"Bert Bell, professional football commissioner—Philadelphia
"Brad Benson, professional football player—Altoona
"Norm Benning, NASCAR driver—Level Green
"Jesse Biddle, professional baseball player—Philadelphia
"Fred Biletnikoff, HOF professional football player—Erie
"Steve Bilko, professional baseball player—Nanticoke
"Adam Bisnowaty (born 1993), professional football player—Pittsburgh
"Steve Blackman, professional wrestler—Annville
"DeJuan Blair, professional basketball player—Pittsburgh
"George Blanda, HOF professional football player—Youngwood
"Sam Bowie, professional basketball player—Lebanon
"Jerry Boyarsky, professional football player—Scott Township
"Kyle Brady, professional football player—Camp Hill
"Sid Bream, professional baseball player—Mount Holly Springs
"Steve Breaston, professional football player—North Braddock
"Tom Brookens, professional baseball player—Chambersburg
"Corey Brown, professional football player—Philadelphia
"Gary Brown, professional football player—Williamsport
"John Brown, HOF college football player—Canton
"Philly Brown, professional football player—Upper Darby
"Scott Brunner, professional football player—Sellersville
"Kobe Bryant, professional basketball player—Lower Merion
"Taylor Buchholz, professional baseball player—Lower Merion Township
"Ryan Buchter, professional baseball player—Reading
"Marc Bulger, professional football player—Pittsburgh
"Leroy Burrell, track and field—Lansdowne
"Rasual Butler, professional basketball player—Philadelphia
"Alex Cabrera, professional baseball player—Lebanon
"Ray Caldwell, professional baseball player—McKean County
"John Calipari, college basketball coach—Moon Township
"Roy Campanella, HOF professional baseball player—Philadelphia
"Russ Canzler, professional baseball player—Berwick
"John Cappelletti, professional football player—Upper Darby
"P. J. Carlesimo, professional basketball coach—Scranton
"Pete Carril, HOF college basketball coach—Bethlehem
"Matt Carroll, professional basketball player—Pittsburgh
"Len Chappell, professional basketball player—Portage
"Wilt Chamberlain, HOF professional basketball player—Philadelphia
"Barry Church, professional football player—Pittsburgh
"Nestor Chylak, professional baseball umpire—Olyphant
"Bruce Clark, professional football player—New Castle
"Colby Cohen (born 1989), professional ice hockey player—Villanova
"Jake Cohen (born 1990), American/Israeli professional basketball player
"Julia Cohen (born 1989), tennis player—Philadelphia
"Billy Conn, professional boxer—Pittsburgh
"James Conner, professional football player—Erie
"Harry Coveleski, professional baseball player—Shamokin
"Stan Coveleski, HOF baseball player—Shamokin
"Fran Crippen, swimmer—Conshohocken
"Maddy Crippen, Olympic swimmer—Conshohocken
"Tom Clements, professional football coach—McKees Rocks
"Gary Collins, professional football player—Williamstown
"Joe Collins, professional baseball player—Scranton
"Kerry Collins, professional football player—Lebanon
"Marques Colston, professional football player—Susquehanna Township
"Dan Conners, professional football player—St. Mary's
"Dan Connor, professional football player—Wallingford
"Mark Corey, professional baseball player—Austin
"Mike Costanzo, professional baseball player—Philadelphia
"Jim Covert, professional football player—Conway
"Bill Cowher, professional football coach—Crafton
"Billy Cox, professional baseball player—Newport
"Mike Cox, professional football player—Lewisberry
"Channing Crowder, professional football player—State College
"Chris Culliver, professional football player—Philadelphia
"Chuck Daly, HOF professional basketball coach—Kane
"Bob Davie, college football coach—Moon Township
"Ernie Davis, HOF college football player—New Salem-Buffington
"Phil Davis, UFC fighter—Harrisburg
"Darrell Dess, professional football player—New Castle
"James Develin, professional football player—West Chester
"Dorin Dickerson, professional football player—Imperial
"Keir Dillon, professional snowboarder—East Stroudsburg
"Mike Ditka, HOF professional football player and coach—Aliquippa
"Tim Donaghy, professional basketball referee—Havertown
"Aaron Donald, professional football player—Pittsburgh
"Keith Dorney, professional football player—Emmaus
"Tony Dorsett, HOF professional football player—Hopewell Township
"Forrest "Jap" Douds, professional football player and coach—Rochester
"Shane Douglas, professional wrestler—Pittsburgh
"Jeff Dugan, professional football player—Pittsburgh
"Pete Duranko, professional football player—Johnstown
"Jimmy Dykes, professional baseball player—Philadelphia
"Bill Eadie, professional wrestler—Brownsville
"Kyle Eckel, professional football player—Philadelphia
"Josh Edgin, professional baseball player—Three Springs
"Wayne Ellington, professional basketball player—Wynnewood
"Cody Eppley, professional baseball player—Dillsburg
"Jahri Evans, professional football player—Philadelphia
"Tyreke Evans, professional basketball player—Chester
"Tim Federowicz, professional baseball player—Erie
"Bill Ferrario, professional football player—Scranton
"Randy Fichtner, professional football coach—Meadville
"Frank Filchock, professional football player and coach—Greene County
"Pat Flaherty, professional football coach—McSherrystown
"Andre Fluellen, professional football player—Philadelphia
"Tom Flynn, professional football player—Verona
"Nellie Fox, HOF professional baseball player—St. Thomas Township
"Terry Francona, professional baseball manager—New Brighton
"Tito Francona, professional baseball player—New Brighton
"John Frank (born 1962), professional football player—Pittsburgh
"Buck Freeman, professional baseball player—Catasauqua
"Gus Frerotte, professional football player—Kittanning
"Jim Furyk, professional golfer—Lancaster
"Rich Gannon, professional football player—Philadelphia
"Ryan Garko, professional baseball player—Pittsburgh
"Jason Garrett, professional football coach—Abington
"John Garrett, professional football coach—Danville
"Eddie George, professional football player—Abington Township
"Sean Gilbert, professional football player—Aliquippa
"Armen Gilliam, professional basketball player—Bethel Park
"Garry Gilliam, professional football player—Harrisburg
"Kimberly Glass, professional volleyball player—Lancaster
"Tom Gola, HOF basketball player—Philadelphia
"Robbie Gould, professional football player—Jersey Shore
"Bruce Gradkowski, professional football player—Pittsburgh
"Gino Gradkowski, professional football player—Pittsburgh
"Aaron Gray, professional basketball player—Emmaus
"Dick Gray, professional baseball player—Jefferson
"Al Gionfriddo, professional baseball player—Dysart
"Ken Griffey Jr., professional baseball player—Donora
"Ken Griffey Sr., professional baseball player—Donora
"Russ Grimm, professional football player—Scottdale
"Dick Groat, professional baseball player—Wilkinsburg
"Randy Grossman (born 1952), professional football player—Haverford Township
"Peter Gruner, professional wrestler, ring name Billy Kidman—Allentown
"Brandon Guyer, professional baseball player—West Chester
"Jack Ham, professional football player—Johnstown
"Richard Hamilton, professional basketball player
"Brendan Hansen, Olympic gold medal swimmer—Haverford Township
"Marvin Harrison, professional football player—Philadelphia
"Ray Harroun, winner of the first Indianapolis 500—Spartansburg
"Leon Hart, professional football player—Pittsburgh
"Jim Haslett, professional football player and coach—Pittsburgh
"Andrew Hawkins, professional football player—Johnstown
"Artrell Hawkins, professional football player—Johnstown
"Don Heffner, professional baseball player and manager—Rouzerville
"Chris Heisey, professional baseball player—Mount Joy
"Gerald Henderson Jr., professional basketball player—Merion
"Chad Henne, professional football player—Wyomissing
"Tom Herr, professional baseball player and manager—Lancaster
"Mark Herzlich, professional football player—Wayne
"Cameron Heyward, professional football player—Pittsburgh
"Eric Hicks, professional football player—Erie
"Jordan Hill, professional football player—Harrisburg
"Shawn Hillegas, professional baseball player—South Fork
"Al Holbert, professional auto racer—Warrington
"Larry Holmes, HOF professional boxer—Easton
"J. J. Hoover, professional baseball player—Elizabeth
"Bernard Hopkins, professional boxer—Philadelphia
"Jeff Hostetler, professional football player—Hollsopple
"Art Howe, professional baseball player and manager—Pittsburgh
"Gene Huey, professional football player—Uniontown
"Henry Hynoski, professional football player—Elysburg
"Jerald Ingram, professional football coach—Beaver
"Qadry Ismail, professional football player—Wilkes-Barre
"Raghib Ismail, professional football player—Wilkes-Barre
"Marc Jackson, professional basketball player—Philadelphia
"Marlin Jackson, professional football player—Sharon
"Reggie Jackson, HOF professional baseball player—Wyncote
"Brook Jacoby, professional baseball player—Philadelphia
"Hughie Jennings, professional baseball player—Pittston
"Larry Johnson, professional football player—State College
"Derrick Jones Jr., professional basketball player—Chester
"Eddie Jones, professional basketball player—Philadelphia
"Kevin Jones, professional BMX rider—York
"Sage Karam, professional racing driver—Nazareth
"George Karl, professional basketball coach—Penn Hills
"Nate Karns, professional baseball player—Franklin
"Don Kelly, professional baseball player—Butler
"Jim Kelly, HOF professional football player—Bradys Bend Township
"Pat Kelly, professional baseball player—Philadelphia
"Ray Kemp, professional football player—Cecil Township
"Billy Kidman (ring name), professional wrestler—Allentown
"Ethan Kilmer, professional football player—Wyalusing
"Bucko Kilroy, professional football player and coach—Philadelphia
"Betsy King, HOF professional golfer—Reading
"Steve Kline, professional baseball player—Winfield
"Dan Koppen, professional football player—Whitehall Township
"Josh Koscheck, professional mixed martial artist—Waynesburg
"Kristy Kowal, Olympic swimmer—Reading
"Bruce Kozerski, professional football player—Plains Township
"Erik Kratz, professional baseball player—Telford
"John Kuhn, professional football player—Dover
"Floyd Landis, professional cyclist—Lancaster
"Tom Lasorda, HOF professional baseball manager—Norristown
"Ty Law, professional football player—Aliquippa
"Sean Lee, professional football player—Pittsburgh
"Don LeJohn, professional baseball manager—Daisytown
"Matt Lengel, professional football player—Mechanicsburg
"Chad Levitt, professional football player—Cheltenham
"Dion Lewis, professional football player—Penn Hills
"Grant Lewis, professional ice hockey player—Upper St. Clair
"Ralph Lewis, professional basketball player and coach—Philadelphia
"Tara Lipinski, Olympic gold medalist in figure skating—Philadelphia
"Kyle Lowry, professional basketball player—Philadelphia
"Maurice Lucas, professional basketball player—Pittsburgh
"Johnny Lujack, HOF professional football player—Connellsville
"Joe Maddon, professional baseball manager—Hazleton
"Brooke Makler (1951–2010), Olympic fencer
"Paul Makler Jr. (born 1946), Olympic fencer
"Paul Makler Sr. (born 1920), Olympic fencer
"Ryan Malone, professional hockey player—Upper St. Clair
"Greg Manusky, professional football player—Dallas
"Bam Margera, professional skateboarder—West Chester
"Pete Maravich, HOF professional basketball player—Aliquippa
"Dan Marino, HOF professional football player—Pittsburgh
"Brandon Marshall, professional football player—Pittsburgh
"Donyell Marshall, professional basketball player—Reading
"Tim Masthay, professional football player—Pittsburgh
"Christy Mathewson, HOF professional baseball player—Factoryville
"Michael R. Matz, Olympic equestrian and thoroughbred trainer—Collegeville
"Pat McAfee, professional football player—Plum
"Matt McBride, professional baseball player—Bethlehem
"Ed McCaffrey, professional football player—Waynesboro
"Joe McCarthy, HOF baseball manager—Philadelphia
"Mike McCarthy, former professional football head coach for the Green Bay Packers—Pittsburgh
"John J. McDermott, professional golfer—Philadelphia
"Jameel McClain, professional football player—Philadelphia
"Robert McClain, professional football player—Philadelphia
"LeSean McCoy, professional football player—Harrisburg
"Mike McCoy, professional football player—Erie
"Muffet McGraw, college basketball coach—Pottstown
"Aaron Mckie, professional basketball player—Philadelphia
"Josephine McKim, Olympic swimming gold medalist—Oil City
"Brandon McManus, professional football player—Philadelphia
"Rocco Mediate, professional golfer—Greensburg
"Mike Mentzer, bodybuilder, 1979 Mr. Olympia—Ephrata&#91;2&#93;
"Devin Mesoraco, professional baseball player—Punxsutawney
"Lou Michaels, professional football player—Swoyersville
"Walt Michaels, pro football player and coach—Swoyersville
"Matt Millen, professional football player—Whitehall
"Eric Milton, professional baseball pitcher—Bellefonte
"Cuttino Mobley, professional basketball player—Philadelphia
"Earl Monroe, HOF professional basketball player—Philadelphia
"Joe Montana, HOF professional football player—New Eagle
"Nick Moody, professional football player—Wyncote
"Charles Morgan, professional football player—Allentown
"Lenny Moore, HOF professional football player—Reading
"Michael Moorer, professional boxer—Monessen
"Marcus Morris, professional basketball player—Philadelphia
"Markieff Morris, professional basketball player—Philadelphia
"Mercury Morris, professional football player—Pittsburgh
"Jamie Moyer, professional baseball player—Sellersville
"Terry Mulholland, professional baseball player—Uniontown
"Mike Munchak, professional football player—Scranton
"Ryan Mundy, professional football player—Pittsburgh
"James Mungro, professional football player—East Stroudsburg
"Flip Murray, professional basketball player—Philadelphia
"Stan Musial, HOF professional baseball player—Donora
"Mike Mussina, professional baseball player—Montoursville
"Joe Namath, HOF professional football player—Beaver Falls
"Ryan Nassib, professional football player—West Chester
"Jameer Nelson, professional basketball player—Chester
"Lucas Nix, professional football player—Clairton
"Jordan Norwood, professional football player—State College
"Marty Nothstein, professional cyclist, 2000 Olympics gold medalist—Emmaus
"Jared Odrick, professional football player—Lebanon
"Bo Orlando, professional football player—Berwick
"Joe Ostrowski, professional baseball player—West Wyoming
"Doug Overton, professional basketball coach—Philadelphia
"Billy Owens, professional basketball player—Carlisle
"Arnold Palmer, HOF professional golfer—Latrobe
"George Parros, professional hockey player—Washington
"Sean Payton, professional football head coach for the New Orleans Saints—Philadelphia
"Todd Peck, professional racing driver—Glenville
"Corey Peters, professional football player—Pittsburgh
"Mike Piazza, HOF professional baseball player—Norristown
"Bernard Pierce, professional football player—Ardmore
"Jason Pinkston, professional football player—Pittsburgh
"Lousaka Polite, professional football player—North Braddock
"Paul Posluszny, professional football player—Hopewell Township
"Abner Charles Powell, professional baseball player, owner, innovator—Shenandoah
"Terrelle Pryor, professional football player—Jeannette
"Justin Pugh, professional football player—Holland
"Christian Pulisic, professional soccer player—Hershey
"Andre Reed, HOF professional football player—Allentown
"Dylan Reese (born 1984), NHL ice hockey player—Pittsburgh
"Frank Reich, professional football player—Lebanon
"Nolan Reimold, professional baseball player—Greenville
"Nicole Reinhart, professional cyclist—Macungie
"Darrelle Revis, professional football player—Aliquippa
"Mike Richter, professional hockey player—Abington
"Garth Rickards, professional racing driver—Mechanicsburg
"Adam Rippon, Olympic bronze medalist in figure skating—Clarks Summit
"Jon Ritchie, professional football player—Mechanicsburg Cumberland Valley
"Bill Robinson, professional baseball player, coach—McKeesport
"Ed Roebuck, professional baseball player—East Millsboro
"Malik Rose, professional basketball player—Philadelphia
"Mike Rosenthal (born 1977), NFL football player—Pittsburgh
"Tim Ruddy, professional football player—Dunmore
"Bobby Ryan, professional ice hockey player—Philadelphia
"Matt Ryan, professional football player—Exton
"Brandon Saad, professional hockey player—Pittsburgh
"Jack Sack (1902–1980), football player and coach
"John Salmons, professional basketball player—Philadelphia
"Bruno Sammartino, professional wrestler—Pittsburgh
"Bob Sanders, professional football player—Erie
"Jerry Sandusky, college football coach—Washington
"Carl Sawatski, professional baseball player—Shickshinny
"Matt Schaub, professional football player—Pittsburgh
"Brian Schneider, professional baseball player—Northampton
"Marty Schottenheimer, professional football coach
"Mike Scioscia, professional baseball player and manager—Morton
"Da'Rel Scott, professional football player—Conshohocken
"Vic Seixas (born 1923), professional Hall of Fame tennis player
"Mustafa Shakur, professional basketball player—Philadelphia
"Bobby Shantz, professional baseball player—Pottstown
"Kirk Shelmerdine, NASCAR crew chief and driver—Philadelphia
"Jean Shiley, Olympic track and field gold medalist—Harrisburg
"Dick Shiner, professional football player—Lebanon
"A. Q. Shipley, professional football player—Coraopolis
"Tom Skladany, professional football player—Bethel Park
"Greg Skrepenak, professional football player—Wilkes Barre
"Steve Slaton, professional football player—Levittown
"Kevin Slowey, professional baseball player—Upper St. Clair
"Musa Smith, professional football player—New Bloomfield
"Garrett Smithley, professional racing driver—Ligionier
"Gene Snitsky, professional wrestler—Nesquehoning
"Jimmy Spencer, professional racecar driver—Berwick
