"Squire Boone, frontiersman (Laconia)
"Vic Bubas, basketball coach (Gary)
"Everett Case, basketball coach (Anderson)
"Dwane Casey, basketball coach (Indianapolis)
"Zora G. Clevenger, basketball coach (Muncie)
"Everett Dean, basketball coach (Salem)
"Frank Hamblen, basketball coach (Terre Haute)
"Del Harris, basketball coach (Plainfield)
"Tony Hinkle, basketball coach  (Logansport)
"Ralph Jones, basketball coach  (Marion County)
"Ward Lambert, basketball coach (West Lafayette)
"Bobby Leonard, basketball coach (Terre Haute)
"John MacLeod, basketball coach (New Albany)
"Branch McCracken, basketball coach (Monrovia)
"Arad McCutchan, basketball coach (Evansville)
"Murray Mendenhall, basketball coach (Fort Wayne)
"Gregg Popovich, basketball coach (East Chicago)
"Scott Skiles, basketball coach (Plymouth)
"Norm Sloan, basketball coach (Indianapolis)
"Brad Stevens, basketball coach (Zionsville)
"Terry Stotts, basketball coach (Bloomington)
"Sharon Versyp, basketball coach (Mishawaka)
"Randy Wittman, basketball coach (Indianapolis)
"John Wooden, basketball coach (Martinsville)
"Mike Woodson, basketball coach (Indianapolis)
"William "Dick the Bruiser" Afflis, football player and professional wrestler (Delphi)
"Jason Baker, football player (Fort Wayne)
"Roosevelt Barnes, football player (Fort Wayne)
"Blaine Bishop, football player (Indianapolis)
"James Brewer, football player (Indianapolis)
"Stevie Brown, football player (Columbus)
"Mark Clayton, football player (Indianapolis)
"Roosevelt Colvin, football player (Indianapolis)
"Irv Cross, football player (Hammond)
"Jay Cutler, football player (Santa Claus)
"Len Dawson, football player (West Lafayette)
"Kris Dielman, football player (Goshen)
"Ken Dilger, football player (Lincoln City)
"Chris Doleman, football player (Indianapolis)
"Tandon Doss, football player (Indianapolis)
"Dave Duerson, football player (Muncie)
"Vaughn Dunbar, football player (Fort Wayne)
"Tyler Eifert, football player (Fort Wayne)
"Trai Essex, football player (Fort Wayne)
"Jason Fabini, football player (Fort Wayne)
"Justin Gage, football player (Indianapolis)
"Jeff George, football player (Indianapolis)
"Brandon Gorin, football player (Muncie)
"MarQueis Gray, football player (Indianapolis)
"Randy Gregory, football player (Fishers)
"Bob Griese, football player (Evansville)
"Rex Grossman, football player (Bloomington)
"Nick Hardwick, football player (Indianapolis)
"Kevin Hardy, football player (Evansville)
"Tom Harmon, football player (Gary)
"Corey Harris, football player (Indianapolis)
"Nick Hayden, football player (Hartland)
"Mark Herrmann, football player (Carmel)
"Jon Hilbert, football player (Boonville)
"James Hurst, football player (Plainfield)
"Anthony Johnson, football player (South Bend)
"Alex Karras, football player and pro wrestler (Gary)
"Ted Karras, football player (Indianapolis)
"Dustin Keller, football player (Lafayette)
"Ryan Kerrigan, football player (Muncie)
"Blair Kiel, football player (Columbus)
"Mathias Kiwanuka, football player (Indianapolis)
"Bob Kuechenberg, football player (Gary)
"Nate Lawrie, football player (Indianapolis)
"Lamar Lundy, football player (Richmond)
"Zack Martin, football player (Indianapolis)
"Matt Mauck, football player (Jasper)
"Derrick Mayes, football player (Indianapolis)
"Brad Maynard, football player (Tipton)
"Le'Ron McClain, football player (Fort Wayne)
"Tony McGee, football player (Terre Haute)
"Rick Mirer, football player (Goshen)
"Brandon Moore, football player (Gary)
"Devin Moore, football player (Indianapolis)
"Mike Neal, football player (Merrillville)
"Elmer Oliphant, football player (Washington)
"Mike Otto, football player (Bunker Hill)
"Mike Phipps, football player (Columbus)
"Jason Pociask, football player (Indianapolis)
"Bernard Pollard, football player (Fort Wayne)
"Joe Reitz, football player (Indianapolis)
"Adrien Robinson, football player (Indianapolis)
"Courtney Roby, football player (Indianapolis)
"Terry Schmidt, football player (Columbus)
"Kawann Short, football player (East Chicago)
"Jaylon Smith, football player (Fort Wayne)
"Lamar Smith, football player (Fort Wayne)
"Anthony Spencer, football player (Fort Wayne)
"Paul Spicer, football player (Indianapolis)
"Jason Spriggs, football player (Elkhart)
"John Standeford, football player (Monrovia)
"Glen Steele, football player (Ligonier)
"Dan Stryzinski, football player (Vincennes)
"Scott Studwell, football player (linebacker) (Evansville)
"Lars Tate, football player (Indianapolis)
"Anthony Thompson, football player (Terre Haute)
"Jared Tomich, football player (St. John)
"Stacey Toran, football player (Indianapolis)
"Jeremy Trueblood, football player (Indianapolis)
"Steve Weatherford, football player (Crown Point)
"Eugene Wilson, football player (Merrillville)
"Rod Woodson, football player (Fort Wayne)
"Todd Yoder, football player (New Palestine)
"Joe Zeller, football player (East Chicago)
"Cam Cameron, football coach (Terre Haute)
"Bill Lynch, football coach (Indianapolis)
"Jack Chevigny, football coach (Hammond)
"Zora G. Clevenger, football coach (Muncie)
"Clem Crowe, football coach (Lafayette)
"Mike DeBord, football coach (Muncie)
"Weeb Ewbank, football coach (Richmond)
"Abe Gibron, football coach (Michigan City)
"Hank Stram, football coach (Gary)
"John Andretti, racer (Indianapolis)
"Cannonball Baker, motorcycle and auto racer (Dearborn County)
"Ed Carpenter, Indy Car racer (Indianapolis)
"Conor Daly, Indy Car and GP2 racer (Noblesville)
"Derek Daly, Formula One racer (Noblesville; originally Irish)
"Bob Glidden, NHRA drag racer (Whiteland)
"Jeff Gordon, racer (Pittsboro)
"Tracy Hines, racer (New Castle)
"Kenny Irwin, racer ([[Indianapolis)
"Mel Kenyon, midget car racer, five Indy 500 top-five finishes (Lebanon)
"Steve Kinser, 20-time World of Outlaws sprint car champion (Bloomington)
"Ryan Newman, racer (South Bend)
"Tony Raines, racer (LaPorte)
"Tony Stewart, racer (Columbus)
"David Stremme, racer (South Bend)
"Howdy Wilcox, 1919 Indy 500 winner (Crawfordsville)
"William "Dick the Bruiser" Afflis, football player and professional wrestler (Delphi)
"Danny "the Damaja" Basham, professional wrestler (Seymour)
"B. Brian Blair, professional wrestler (Gary)
"Stephan Bonnar, UFC fighter (Munster)
"Robert Bowles, karate teacher (Fort Wayne)
"Jon Fitch, UFC fighter (Fort Wayne)
"Mick Foley, professional wrestler (born in Bloomington, but raised on Long Island)
"Terry Funk, professional wrestler (Hammond)
"Marvin Johnson, boxer (Indianapolis)
"Julie Kedzie, mixed martial artist (Bloomington)
"Glenn Keeney, martial arts pioneer (Anderson)
"Chris Lytle, UFC fighter (Indianapolis)
"Craig Pumphrey, martial artist (New Albany)
"Sharmell Sullivan-Huffman, wrestling valet (Gary)
"Miguel Torres, bantamweight boxer and UFC fighter (East Chicago)
"The Ultimate Warrior, professional wrestler (Crawfordsville)
"Bill Wallace, world karate champion (Muncie)
"Eddie Wineland, UFC fighter (Chesterton)
"Drake Younger, professional wrestler (Indianapolis)
"Tony Zale, boxer (Gary, Indiana|Gary)
"Mike Aulby, professional bowler (Indianapolis)
"Rich Balchan, soccer player (Carmel)
"Lloy Ball, Olympic volleyball player (born in Fort Wayne, raised in Woodburn)
"Damarcus Beasley, soccer player (Fort Wayne)
"Amy Yoder Begley, Olympic long distance runner (Kendallville)
"Greg Bell, athlete, gold medalist in long jump at 1956 Summer Olympics (Terre Haute)
"Lindsay Benko, 2000 Olympics swimmer (Elkhart)
"David Boudia, Olympic diver (Noblesville)
"Donald Brashear, hockey player (Bedford)
"Euphrasia Donnelly, swimmer, Olympic gold medalist (Indianapolis)
"Mary Beth Dunnichay, Olympic diver (Elwood)
"Ray Ewry, athlete, winner of eight Olympic gold medals (Lafayette)
"Charlie Finley, MLB owner of Kansas City/Oakland A's; NHL owner of Oakland/California Seals; ABA owner of Memphis Pros/Tams (LaPorte)
"Ford Frick, writer and Commissioner of Major League Baseball (Wawaka)
"Ray Gaddis, soccer player (Indianapolis)
"Jeff Gallagher, pro golfer (Marion)
"Jim Gallagher Jr., golfer, PGA Tour (Marion)
"Nick Goepper, freeskier, Winter Olympics, Winter X Games (Lawrenceburg)
"Lauren Holiday, soccer player (Indianapolis)
"Tony Hulman, owner of Indianapolis Motor Speedway (Terre Haute)
"Lauren Johnson, runner (Huntington)
"Lilly King, U.S. competition swimmer (Evansville)
"Don Lash, long-distance runner (Bluffton and Auburn)
"Jeff Overton, golfer, PGA Tour (Evansville)
"Dan Patch, pacer (Oxford)
"Aron Ralston, mountain climber (Indianapolis)
"Bridget Sloan, Olympic gymnast, silver medalist (Pittsboro)
"Jackie Gallagher-Smith, golfer, LPGA (Marion)
"Sandra Spuzich, golfer, 1966 U.S. Women's Open champion (Indianapolis)
"Major Taylor, cyclist (Indianapolis)
"Mike Troy, swimmer, two-time Olympic gold medalist (Indianapolis)
"Bo Van Pelt, golfer, PGA Tour (Richmond)
"Sharon Wichman, swimmer, gold medalist at 1968 Summer Olympics (Fort Wayne)
"Todd Yeagley, Major League Soccer player (Bloomington)
"Fuzzy Zoeller, golfer, Masters and U.S. Open champion (New Albany)
"Steve Bellamy, sports and media businessman
"Bill Blass, fashion designer (Fort Wayne)
"Junior Bridgeman, former NBA player; CEO of Bridgeman Foods, world's second-largest Wendy's franchisee (East Chicago)
"Charles G. Conn, manufacturer of band instruments (Elkhart)
"Steve Ells, founder and CEO of Chipotle Mexican Grill (Indianapolis)
"Michael L. Eskew, former CEO of UPS (Vincennes)
"Carl G. Fisher, founder of the Indianapolis Motor Speedway and Prest-O-Lite (Greensburg)
"Richard Jordan Gatling, inventor of gatling gun (Indianapolis)
"Halston, fashion designer (Evansville)
"Mark C. Honeywell, founder of Honeywell International, Inc. (Wabash)
"Gary Hoover, founder of Bookstop and Hoover's (Anderson)
"Edward Mead Johnson, co-founder of Johnson &amp; Johnson; founder of Mead Johnson &amp; Co. (Evansville)
"E.W. Kelley, founder of Steak 'n Shake restaurant chain and benefactor of Indiana University's Kelley School of Business (Sharpsville)
"Robert A. McDonald, Chairman, President and CEO of Procter &amp; Gamble (Gary)
"Norman Norell, fashion designer (Noblesville)
"Aaron Patzer, founder of Mint.com (Evansville)
"Orville Redenbacher, businessman, popcorn mogul (Brazil)
"Francis Joseph Reitz, banker and philanthropist (Evansville)
"Alvah Curtis Roebuck, co-founder of Sears, Roebuck and Company (Lafayette)
"Colonel Sanders, founder of KFC (Henryville)
"John Schnatter, founder and CEO of Papa John's Pizza (Jeffersonville)
"Eugene Stoner, firearms designer (Gosport)
"Fred Zollner, industrialist and founder of the Fort Wayne Pistons NBA franchise
"Enoch Albert Bryan, president, Vincennes University and Washington State University (Bloomington)
"Albert Fredrick Ottomar Germann, physical chemist, university professor, and chemical entrepreneur (Peru)
"Frank Erhart Emmanuel Germann, physical chemist and university professor (Peru)
"Ray Ginger, Harvard professor in labor history and economic history; target of House Committee on Unamerican Activities, ending his academic career  (Greencastle and Indianapolis)
"Charles Royal Johnson, mathematician, College of William &amp; Mary professor (Elkhart)
"Frank Curry Mathers, physical chemist, professor, president of Electrochemical Society (Monroe County)
"George P. Smith II, Catholic University of America professor of Law (Wabash)
"Herman B Wells, president, Indiana University (Jamestown)
"George Ade, author and journalist (Kentland)
"J. Ottis Adams, artist (Indianapolis)
"Radley Balko, journalist, blogger (Greenfield)
"Charles A. Beard, historian (Knightstown)
"Albert J. Beveridge, historian (Indianapolis)
"Allan Bloom, philosopher, classicist, academic (Indianapolis)
"Norman Bridwell, author (Kokomo)
"Bubba the Love Sponge, radio personality (Warsaw)
"Clarence Joseph Bulliet, art critic, journalist, author
"Meg Cabot, author (Bloomington)
"Jared Carter, poet (Elwood)
"William Merritt Chase, painter (Nineveh, Johnson County)
"Will Cuppy, humorist (Auburn)
"Alan Roger Currie, author, radio personality (Gary)
"Jim Davis, cartoonist (Fairmount)
"Lloyd C. Douglas, author (Columbia City)
"Theodore Dreiser, author (Terre Haute)
"Marilyn Durham, author (Evansville)
"Mike "Doc" Emrick, sportscaster (La Fontaine)
"Clayton Eshleman, poet (Indianapolis)
"William Forsyth (artist), artist (Indianapolis)
"Ford Frick, sportswriter, Commissioner of Baseball (Wawaka)
"Bill Frink, sportscaster (Elkhar])
"David Goodnow, television journalist (Vincennes)
"Michael Graves, architect, designer (Indianapolis)
"Art Green, painter (member of The Hairy Who)
"John Green, author (Indianapolis)
"Johnny Gruelle, illustrator of Raggedy Ann books (Indianapolis)
"Richard Gruelle, artist (Indianapolis)
"Mark Hampton, interior designer (Plainfield)
"David Haugh, sportswriter (North Judson)
"Christine Howser, author
"Kin Hubbard, humorist, writer, cartoonist (Indianapolis)
"Robert Indiana, artist (New Castle)
"Ross Lockridge Jr., author (Bloomington)
"John T. McCutcheon, cartoonist (Lafayette)
"Jason Matheson, radio personality on KTMY
"Edward J. Meeman, journalist (Evansville)
"Dale Messick, comic strip artist (South Bend)
"Bruce Nauman, artist (Fort Wayne)
"Meredith Nicholson, author (Crawfordsville)
"Dave Niehaus, sportscaster (Princeton)
"Jack Olsen, journalist and author (Indianapolis)
"Bill Peet, author, Disney artist, Caldecott Honor recipient (Grandview)
"Jon Petrovich, television executive (Gary)
"Edith Pfau, painter, sculptor, art educator (Jasper)
"David Graham Phillips, journalist, novelist (Madison)
"Gene Stratton Porter, author (Wabash County)
"Nelson Poynter, publisher (Sullivan)
"Ernie Pyle, newsman, legendary war correspondent during World War II (Dana)
"Frank Reynolds, television journalist (East Chicago)
"E. A. Richardson, poet, first Poet Laureate of Indiana (Pike County)
"James Whitcomb Riley, poet (Greenfield)
"William Edouard Scott, artist (Indianapolis)
"Zerna Sharp, author and educator (Frankfort)
"Michael Shelden, author of George Orwell: Ten Animal Farm Letters to His Agent, Leonard Moore (Terre Haute)
"Will Shortz, editor of The New York Times crossword puzzle and host of the puzzle segment on National Public Radio's Weekend Edition Sunday (Crawfordsville)
"David Smith, Abstract Expressionist sculptor (Decatur)
"Amy Spindler, journalist (Michigan City)
"Otto Stark, artist (Indianapolis)
"T. C. Steele, artist (Indianapolis)
"Rex Stout, author, creator of Nero Wolfe (Noblesville)
"Booth Tarkington, Pulitzer Prize-winning author of Alice Adams, Seventeen, and The Magnificent Ambersons (Indianapolis)
"James Alexander Thom, author (Indianapolis, Brown County)
"Gilbert R. Tredway, historian (Jasper)
"Kurt Vonnegut, author (Indianapolis)
"Lew Wallace, author (Crawfordsville)
"Jason Whitlock, sportswriter (Indianapolis)
"J.N. Williamson, author (Noblesville)
"Marguerite Young, poet, author, critic (Indianapolis)
"Gordon Allport, psychologist, one of the founding figures of personality psychology (Montezuma)
"Philip Warren Anderson, Nobel Prize in Physics (Indianapolis)
"Herbert C. Brown, Nobel Prize in Chemistry (West Lafayette)
"Larry M. Davis, forensic psychiatrist, pioneer of the criminal insanity defense (Indianapolis)
"David Deming, geologist and geophysicist (Terre Haute)
"James Bert Garner, chemist, inventor of the gas mask (Lebanon)
"Elwood Haynes, inventor of stainless steel (Kokomo)
"C. Francis Jenkins, inventor of the motion picture projector and television (Richmond)
"Colonel Eli Lilly, founder of Eli Lilly (Indianapolis)
"Salvador E. Luria, Nobel Prize in Medicine (Bloomington)
"Robert Staughton Lynd, sociology, directed first Middletown studies (New Albany)
"Ben Roy Mottelson, Nobel Prize in Physics (West Lafayette)
"Hermann Joseph Muller, Nobel Prize in Medicine (Bloomington)
"E. J. Pennington, inventor and promoter of many mechanical devices (Moores Hill)
"Edward Mills Purcell, Nobel Prize in Physics (West Lafayette)
"George Andrew Reisner, archaeologist of ancient Egypt and Palestine (Indianapolis)
"Paul A. Samuelson, first American to win the Nobel Prize in Economics (Gary)
"Ada Estelle Schweitzer, physician and public health advocate (La Grange County)
"Julian Schwinger, Nobel Prize in Physics (West Lafayette)
"Vernon Smith, Nobel Prize in Economics (West Lafayette)
"Joseph Stiglitz, Nobel Prize in Economics (Gary)
"Lewis Terman, psychologist, inventor of the Stanford-Binet I.Q. test and pioneer in educational psychology (Johnson County)
"Harold Urey, Nobel Prize in Chemistry (Walkerton)
"James D. Watson, Nobel Prize in Medicine (Bloomington)
"R. M. Wilson, mathematician (Gary)
"Joseph P. Allen, astronaut (Crawfordsville)
"Lawrence Bell, aviator (Mentone)
"Frank Borman, astronaut (Gar])
"Kenneth Bowersox, astronaut (Bedford)
"Mark N. Brown, astronaut (Valparaiso)
"Amelia Earhart, pioneer woman aviator (West Lafayette)
"Anthony W. England, astronaut (Indianapolis)
"Kevin A. Ford, astronaut (Montpelier)
"Gus Grissom, astronaut (Mitchell)
"Jerry Ross, astronaut (Crown Point)
"Janice E. Voss, astronaut (South Bend)
"Charles D. Walker, astronaut (Bedford)
"David Wolf, astronaut (Indianapolis)
"Wilbur Wright, inventor (Millville)
"Irvin Baxter Jr., Pentecostal pastor (Richmond)
"Simon Bruté, Catholic missionary and bishop (Vincennes)
"Anthony Deydier, Catholic missionary (Evansville)
"David C. Fisher, Conservative Congregational pastor (Warsaw)
"Benjamin Franklin, figure in the Restoration Movement (Anderson)
"Hobart Freeman, charismatic preacher (Kosciusko County)
"Jim Gilles, campus preacher (Evansville)
"Jeff Godwin, preacher and author (Bloomington)
"Ted Haggard, evangelical pastor (Yorktown)
"Garfield Thomas Haywood, pastor and songwriter (Greencastle)
"Jack Hyles, Baptist preacher (Hammond)
"Gerald Archie Mangun, Pentecostal pastor (La Paz)
"Isaac McCoy, Baptist missionary (Vincennes)
"Steve Munsey, non-denominational Christian pastor (Munster)
"Lee Roberson, Baptist preacher (English)
"Mary Simpson, Episcopalian priest (Evansville)
"Jed Smock, campus preacher (Terre Haute)
"Edward Sorin, Catholic priest (Notre Dame)
"Lester Sumrall, Pentecostal pastor (South Bend)
"Robert Thieme, non-denominational Christian pastor (Fort Wayne)
"Ambrose Jessup Tomlinson, Pentecostal pastor (Westfield)
"Wilbur Glenn Voliva, evangelist (Merom)
"Mike Warnke, evangelist and comedian (Evansville)
"Warren W. Wiersbe, pastor and writer (East Chicago)
"David Wilkerson, evangelical pastor (Hammond)
"Milton Wright, United Brethren bishop (Rushville Township)
"Michael Alig, founding member of Club Kids, murderer (South Bend)
"Lowell Amos, murderer (Anderson)
"Gertrude Baniszewski, murderer (Indianapolis)
"Sam Bass, train robber (Mitchell)
"Herb Baumeister, serial killer (Westfield)
"Curly Bill Brocius, outlaw, nemesis of Wyatt Earp (Crawfordsville)
"John Dillinger, bank robber (Mooresville)
"Belle Gunness, serial killer (La Porte)
"Jimmy Hoffa, labor-union leader (Brazil)
"Jim Jones, cult founder/leader (Richmond)
"Steven Timothy Judy, murderer (Indianapolis)
"Tony Kiritsis, hostage-taker (Indianapolis)
"Harry Pierpont, Prohibition era gangster (Muncie)
"Reno Brothers, murderers,  committed the first three peacetime train robberies in U.S. history (Rockford)
"Johnny Ringo, gunfighter (Greens Fork)
"D.C. Stephenson, Grand Dragon of the Ku Klux Klan, convicted murderer and rapist (Evansville)
"Eric Justin Toth, formerly wanted by the FBI under accusations of possessing and producing child pornography. Replaced Osama Bin Laden on FBI Ten Most Wanted list (Highland)
"Homer Van Meter, criminal and bank robber (Fort Wayne)
"David Camm, man who was wrongfully convicted of the murder of his family (Georgetown)
"Peter Kassig, aid worker, taken hostage and ultimately beheaded by the Islamic State (Indianapolis)&#91;1&#93;
"David E. Kendall, attorney (Sheridan)
"Sylvia Likens, murder victim (Indianapolis)
"Madge Oberholtzer, murder victim (Clay City)
"Shanda Sharer, murder victim (New Albany)
"List of Indiana University alumni
"Index
"Geography
"Government
"Governor (List)
"Congressional districts (Delegations)
"History
"City Nicknames
"National Historic Landmarks
"State parks
"Symbols
"Transportation
"Tourist Attractions
"Index of Indiana-related articles
"Outline
"Culture
"Crime
"Demographics
"Economy
"Education
"Ghostlore
"Politics
"Party strength
"Sports
"Central Indiana
"East Central Indiana
"Wabash Valley
"Northern Indiana
"Northeast Indiana
"Northwest Indiana
"Michiana
"Southern Indiana
"Indiana Uplands
"Kentuckiana
"Southwestern Indiana
"Anderson
"Bloomington
"Carmel
"Columbus
"Elkhart
"Evansville
"Fishers
"Fort Wayne
"Gary
"Goshen
"Greenwood
"Hammond
"Indianapolis
"Jeffersonville
"Kokomo
"Lafayette
"Lawrence
"Michigan City
"Mishawaka
"Muncie
"New Albany
"Noblesville
"Portage
"Richmond
"South Bend
"Terre Haute
"Valparaiso
"Westfield
"Clarksville
"Highland
"Merrillville
"Munster
"Plainfield
"Schererville
"Adams
"Allen
"Bartholomew
"Benton
"Blackford
"Boone
"Brown
"Carroll
"Cass
"Clark
"Clay
"Clinton
"Crawford
"Daviess
"Dearborn
"Decatur
"DeKalb
"Delaware
"Dubois
"Elkhart
"Fayette
"Floyd
"Fountain
"Franklin
"Fulton
"Gibson
"Grant
"Greene
"Hamilton
"Hancock
"Harrison
"Hendricks
"Henry
"Howard
"Huntington
"Jackson
"Jasper
"Jay
"Jefferson
"Jennings
"Johnson
"Knox
"Kosciusko
"LaGrange
"Lake
"LaPorte
"Lawrence
"Madison
"Marion
"Marshall
"Martin
"Miami
"Monroe
"Montgomery
"Morgan
"Newton
"Noble
"Ohio
"Orange
"Owen
"Parke
"Perry
"Pike
"Porter
"Posey
"Pulaski
"Putnam
"Randolph
"Ripley
"Rush
"Saint Joseph
"Scott
"Shelby
"Spencer
"Starke
"Steuben
"Sullivan
"Switzerland
"Tippecanoe
"Tipton
"Union
"Vanderburgh
"Vermillion
"Vigo
"Wabash
"Warren
"Warrick
"Washington
"Wayne
"Wells
"White
"Whitley
"Alabama
"Alaska
"Arizona
"Arkansas
"California
"Colorado
"Connecticut
"Delaware
"Florida
"Georgia
"Hawaii
"Idaho
"Illinois
"Iowa
"Kansas
"Kentucky
"Louisiana
"Maine
"Maryland
"Massachusetts
"Michigan
"Minnesota
"Mississippi
"Missouri
"Montana
"Nebraska
"Nevada
"New Hampshire
"New Jersey
"New Mexico
"New York
"North Carolina
"North Dakota
"Ohio
"Oklahoma
"Oregon
"Pennsylvania
"Rhode Island
"South Carolina
"South Dakota
"Tennessee
"Texas
"Utah
"Vermont
"Virginia
"Washington
"West Virginia
"Wisconsin
"Wyoming
"American Samoa
"Guam
"Northern Mariana Islands
"Puerto Rico 
"U.S. Virgin Islands
"Lists of people from IndianaHidden categories: Dynamic listsUse American English from July 2015All Wikipedia articles written in American EnglishUse mdy dates from October 2014
