"Wilbur L. Adams (1884–1937) – U.S. Representative from Delaware
"J. Edward Addicks (1841–1919) – gas tycoon; his attempts to buy a U.S. Senate seat bolstered support for the Seventeenth Amendment to the U.S. Constitution; lived in Claymont
"J. Frank Allee (1857–1938) – jeweler; Senator from Delaware
"Richard Allen (1760–1831) – founder, African Methodist Episcopal Church
"Joseph Maull (1781–1846) – General Assemblyman; Governor of Delaware
"Dave May (1943–2012) – professional baseball player; born in New Castle
"Sarah McBride (born 1990) – transgender rights activist
"Thomas M'Clintock (1792–1876) – abolitionist; women's rights activist
"Eleazer McComb (died 1798) – Continental soldier; Continental Congressman from Delaware
"Harris B. McDowell, Jr. (1906–1988) – General Assemblyman; U.S. Representative from Delaware
"James D. McGinnis (1932–2009) – realtor; Lieutenant Governor of Delaware
"Bill McGowan (1896–1954) – Baseball Hall of Fame umpire; born in Wilmington
"Bernie McInerney (born 1936) – actor; born in Wilmington
"Thomas McKean (1734–1817) – Chief Justice; Governor of Pennsylvania; educated in Delaware
"Thomas McKean Thompson McKennan (1794–1852) – 2nd U.S. Secretary of the Interior
"John McKinly (1721–1796) – General Assemblyman; President of Delaware
"Marshall Kirk McKusick (born 1954) – computer scientist
"Louis McLane (1786–1857) – U.S. Representative from Delaware; U.S. Secretary of the Treasury; U.S. Secretary of State; father of Robert Milligan McLane; born in Smyrna
"Robert Milligan McLane (1815–1898) – diplomat (U.S. Ambassador to Mexico, France and China; Governor of Maryland; son of Louis McLane; born in Wilmington
"Richard C. McMullen (1868–1944) – manufacturer; Governor of Delaware
"William Medill (1802–1865) – Governor of Ohio; Commissioner of Indian Affairs; Comptroller of the Treasury (U.S.)
"Kevin Mench (born 1978) – professional baseball player, born in Wilmington
"Charles R. Miller (1857–1927) – General Assemblyman; Governor of Delaware
"Thomas W. Miller (1886–1973) – lawyer; U.S. Representative from Delaware
"Henry Milligan (born 1958) – AAU boxing champion (1983)
"John J. Milligan (1795–1875) – lawyer; U.S. Representative from Delaware
"David L. Mills (born 1938) – computer engineer; Internet pioneer
"Ruth Ann Minner (born 1935) – Lieutenant Governor and Governor of Delaware
"Nathaniel Mitchell (1753–1815) – Continental Congressman; Governor of Delaware
"Roxanne Modafferi (born 1982) – mixed martial artist, born in Wilmington
"Henry Molleston (1762–1819) – General Assemblyman; Governor of Delaware
"Hugh Montgomery (died 1780) – sea captain, raised the first American flag in a foreign port
"Jacob Moore – Attorney General of Delaware
"John Bassett Moore (1860–1947) – member, Permanent Court of Arbitration (also known as the Hague Tribunal); first American judge, International Court of Justice (also known as the World Court)
"Vinnie Moore (born 1964) – musician, born in New Castle
"Morgan Morgan (1688–1766) – pioneer
"Hugh M. Morris – federal judge
"John Morris (born 1941) – MLB pitcher, born in Lewes
"Daniel Nathans (1928–1999) – microbiologist; recipient, 1978 Nobel Prize in Physiology or Medicine
"Arnold Naudain (1790–1892) – General Assemblyman; U.S. Senator from Delaware
"Garrett Neff (born 1984) – fashion model
"Alice Dunbar Nelson (1875–1935) – poet; journalist; anti-lynching activist
"David M. Nelson (1920–1991) – football coach; College Football Hall of Famer
"John A. Nicholson (1827–1906) – lawyer; U. S. Representative from Delaware
"Brett Oberholtzer – baseball pitcher, Houston Astros; born in Christiana
"John W. O'Daniel – general, U.S. Army; commander, 3rd Infantry Division during World War II
"Christine O'Donnell (born 1969) – Republican candidate, U.S. Senate (2006, 2008 and 2010)
"Ed Oliver (1915–1961) – professional golfer; born in Wilmington
"Montell Owens – professional football player
"Mehmet Oz – surgeon; television personality; attended Tower Hill School
"William Jackson Palmer (1836–1909) – general, American Civil War; railroad developer; philanthropist; born in Leipsic
"Rudolph Pariser (born 1923) – scientist; formulator, Pariser–Parr–Pople method
"George Parshall (born 1929) – scientist; chemical weapons destruction activist
"John Patten (1746–1800) – General Assemblyman; U.S. Representative from Delaware
"Samuel Paynter (1768–1845) – General Assemblyman; Governor of Delaware
"Charles J. Pedersen (1904–1989) – co-recipient, 1987 Nobel Prize in Chemistry; lived in Delaware (1927–1969)
"William Peery (1743–1800) – General Assemblyman; Continental Congressman from Delaware
"John B. Penington (1825–1902) – Attorney General of Delaware; U. S. Representative from Delaware
"Simeon S. Pennewill (1867–1935) – General Assemblyman; Governor of Delaware
"Russell W. Peterson (born 1916) – scientist; Governor of Delaware; chairman, White House Council on Environmental Quality; president, National Audubon Society
"Daniel Pfeiffer (born 1975) – Senior Advisor to the President under U.S. President Barack Obama
"Ryan Phillippe (born 1974) – actor; born in New Castle
"Aubrey Plaza (born 1984) – actress; comedian; April Ludgate on Parks and Recreation
"David Plouffe (born 1967) – Senior Advisor to the President under U.S. President Barack Obama; born in Wilmington
"Albert F. Polk (1869–1955) – lawyer; U.S. Representative from Delaware
"Charles Polk, Jr. (1788–1857) – General Assemblyman; Governor of Delaware
"Teri Polo (born 1969) – actress; born in Dover
"James Ponder (1819–1897) – General Assemblyman; Governor of Delaware
"William Poole (born 1937) – member, Council of Economic Advisers; chief executive, Federal Reserve Bank of St. Louis
"Bill Press (born 1940) – talk radio host; liberal commentator; author; raised in Delaware City
"Ellen Bernard Thompson Pyle (1876–1936) – illustrator of covers for The Saturday Evening Post; student and sister-in-law of Howard Pyle
"Howard Pyle (1853–1911) – illustrator; author; founder, Brandywine School, brother-in-law of Ellen Bernard Thompson Pyle
"Katharine Pyle (1863–1938) – illustrator; author
"Joe Pyne – broadcaster, worked in Delaware
"John J. Raskob (1879–1950) – businessman; builder, Empire State Building
"Harold R. "Tubby" Raymond (born 1926) – University of Delaware football coach; College Football Hall of Famer
"George Read (1733–1798) – U.S. Senator from Delaware; Chief Justice of Delaware
"George Read, Jr. (1765–1836) – U.S. Attorney, U.S. District Court for the District of Delaware; built the Read House and Gardens
"Thomas Read (1740–1788) – first Commodore, Continental Navy
"Louis L. Redding (1901–1998) – civil rights attorney; participant, Brown v. Board of Education case
"Judge Reinhold (born 1957) – actor; born in Wilmington
"Eugene Reybold (1884–1961) –  Chief of Engineers, U.S. Army Corps of Engineers during World War II
"Robert J. Reynolds (1838–1909) – General Assemblyman; Governor of Delaware
"Harry A. Richardson (1853–1928) – businessman; U.S. Senator from Delaware
"John E. Rickards (1848–1927) – 2nd Governor of Montana; born in Delaware City
"George R. Riddle (1817–1867) – U.S. Representative; U.S. Senator from Delaware
"Henry M. Ridgely (1779–1847) – U.S. Representative; U.S. Senator from Delaware
"Robert P. Robinson (1869–1939) – banker; Governor of Delaware
"Thomas Robinson, Jr. (1800–1843) – lawyer; U.S. Representative from Delaware
"Caesar Rodney (1728–1784) – Continental Congressman; President of Delaware
"Caesar A. Rodney (1772–1824) – U.S. Senator from Delaware; U.S. Attorney General
"Caleb Rodney (1767–1840) – General Assemblyman; Governor of Delaware
"Daniel Rodney (1764–1846) – Governor of Delaware; U.S. Senator from Delaware
"George B. Rodney (1803–1883) – lawyer; U.S. Representative from Delaware
"Thomas Rodney (1744–1811) – General Assemblyman; Continental Congressman from Delaware
"Daniel Rogers (1754–1806) – General Assemblyman; Governor of Delaware
"John W. Rollins (1916–2000) – businessman; Lieutenant Governor of Delaware
"David Roselle (born 1939) – mathematician; academic administrator
"George Ross (1730–1779) – represented Pennsylvania in the Continental Congress
"William H. H. Ross (1814–1887) – farmer; Governor of Delaware
"Jane Richards Roth (born 1935) – judge, U.S. Court of Appeals
"William V. Roth, Jr. (1923–2003) – U.S. Representative; U.S. Senator from Delaware; namesake of Roth IRA and the Roth 401(k) retirement savings plans
"Cynthia Rothrock (born 1957) – martial artist; actress; born in Wilmington
"Eli M. Saulsbury (1817–1893) – General Assemblyman; U.S. Senator from Delaware
"Gove Saulsbury (1815–1881) – General Assemblyman; Governor of Delaware
"Willard Saulsbury, Sr. (1820–1892) – Chancellor of Delaware; U.S. Senator from Delaware
"Willard Saulsbury, Jr. (1861–1927) – lawyer; U.S. Senator from Delaware
"Frank Schoonover (1877–1972) – illustrator, Brandywine School
"Marion duPont Scott (1894–1983) – preservationist; last private owner of Montpelier, the mansion and land estate of former U.S. President James Madison; born in Wilmington
"Collins J. Seitz (1914–1998) – judge, U.S. Court of Appeals; presided over Gebhart v. Belton case
"Virginia A. Seitz (born 1956) – U.S. Assistant Attorney General, Office of Legal Counsel
"Frederic Kimber Seward (1878–1943) – corporate attorney; survivor, RMS Titanic
"Mary Ann Shadd (1823–1893) – educator; newspaper publisher; abolitionist; suffragist; born in Wilmington
"Dave Sheridan (born 1969) – actor, born in Newark
"Chris Short – Major League Baseball player, born in Milford
"Andrew Shue (born 1967) – actor; born in Wilmington
"Elisabeth Shue (born 1963) – actress; born in Wilmington
"John C. Sigler (born 1945) – former president, National Rifle Association
"Helen Farr Sloan (1911–2005) – art philanthropist; former wife of John French Sloan
"Melanie Sloan – executive director, Citizens for Responsibility and Ethics in Washington
"Devin Smith – professional basketball player, Maccabi Tel Aviv
"Nathaniel B. Smithers (1818–1896) – lawyer; U. S. Representative from Delaware
"Thomas Alfred Smyth – last Union Army general killed in the American Civil War
"Ian Snell (born 1981) – Major League Baseball player; born in Dover
"Peter Spencer (1782–1843) – founder, A.U.M.P. Church
"Presley Spruance (1785–1863) – General Assemblyman; U.S. Senator from Delaware
"E. R. Squibb (1819–1900) – pharmaceutical inventor; founder, E. R. Squibb and Sons, a forerunner of Bristol-Myers Squibb
"W. Laird Stabler, Jr. (1930–2008) – lawyer; Attorney General of Delaware
"Walter King Stapleton (born 1934) – judge, U.S. Court of Appeals
"J. George Stewart (1890–1970), architect; U.S. Representative from Delaware
"Michael Stewart (born 1977) – professional boxer, lived in New Castle
"Charles C. Stockley (1819–1901) – General Assemblyman; Governor of Delaware
"Thomas Stockton (1781–1846) – soldier; Governor of Delaware
"Jacob Stout (1764–1857) – General Assemblyman; Governor of Delaware
"Susan Stroman (born 1954) – choreographer; director; born in Wilmington]]
"George Sykes (1822–1880) – major general, American Civil War
"James Sykes (1725–1792) – General Assemblyman; Continental Congressman
"James Sykes (1761–1822) – General Assemblyman; Governor of Delaware
"William Temple (1814–1863) – Governor of Delaware; U.S. Representative from Delaware
"Charles L. Terry, Jr. (1900–1970) – Chief Justice; Governor of Delaware
"William Tharp (1803–1865) – General Assemblyman; Governor of Delaware
"Charles Thomas (1790–1848) – General Assemblyman; Governor of Delaware
"Lorenzo Thomas (1804–1875) – adjutant general, U.S. Army; acting U.S. Secretary of War
"Sean Patrick Thomas (born 1970) – actor; born in Wilmington
"Jim Thompson (born 1906) – businessman; born in Greenville
"George Thorogood (born 1951) – blues-rock musician; from Wilmington
"James Tilton (1745–1822) – 7th Surgeon General of the United States Army; delegate, Continental Congress; from Dover
"Alfred Thomas Archimedes Torbert (1833–1880) – general, Union Army; diplomat; born in Georgetown
"Reorus Torkillus (1608–1643) – first Swedish Lutheran minister to New Sweden
"Jeff Townes, also known as DJ Jazzy Jeff (born 1965) – hip hop, R&amp;B disc jockey; record producer; turntablist; actor; has lived in Delaware since 2004
"John G. Townsend, Jr. (1871–1964) – Governor of Delaware; U.S. Senator from Delaware
"Philip A. Traynor (1874–1962) – dentist, U.S. Representative from Delaware; born in Wilmington
"Sherman W. Tribbitt (1922–2010) – Lieutenant Governor of Delaware; Governor of Delaware
"George Truitt (1756–1818) – General Assemblyman; Governor of Delaware
"Ebe W. Tunnell (1844–1917) – General Assemblyman; Governor of Delaware
"James M. Tunnell (1879–1957) – lawyer; U.S. Senator from Delaware
