"Akbar Ganji
"Akbar Hashemi Rafsanjani, former President of Iran
"Ali Dizaei, senior officer in the London Metropolitan Police
"Alireza Jafarzadeh, Fox News Channel foreign-affairs analyst
"Anousheh Ansari, first female space tourist, telecommunication entrepreneur and namesake of the Ansari X Prize
"Bahar Soomekh, Iranian-American actor
"Camila Batmanghelidjh, UK's Women of the Year 2006 Award winner; founder of London-based children's charity Kids Company
"Daryush Shokof, artist Maximalism, film director,
"Daryoush Ayyoubi
"Goli Ameri, Republican nominee for U.S. House of Representatives
"Iran Zendan, philosopher
"Leon Khachatourian, boxer
"Loris Tjeknavorian, artist
"Marcos Grigorian artist, scholar and actor
"Mirza Malkam Khan, modernist and politician
"Mkhitar Heratsi, physician
"Mushegh Soruri
"Ovannes Ohanian, first Iranian film director
"Robert Beglarian, MP
"Samuel Khachikian, film director
"Sarkis Djanbazian, artist
"Sayat-Nova, poet
"Vartan Gregorian, academic
"Varuzh Karim-Masihi, film editor and director
"Vigen Derderian, singer
"Viguen (see Vigen Derderian)
"Yeprem Khan, revolutionary hero
"Freydun Atturaya, co-founder of the Assyrian Socialist Party
"George Issabeg, 1948 and 1952 Olympics boxer representing Iran
"George Malek-Yonan, politician and Champion of Champions of Iran
"Issa Benyamin, calligraphist
"Ivan Kakovitch (1933–2006), activist and writer (novel Mount Semele (2001))
"Milton Malek-Yonan, inventor of converted rice
"Paulus Khofri, composer and painter
"Ramona Amiri, Miss Canada 2005
"Shoura Osipov, 1948 Olympics boxer representing Iran
"Shoura Osipov, Olympic boxer
"Mar Youhannan Semaan Issayi, Archbishop of Assyro-Chaldean Metropolitan Tehran
"Howard Baskerville, Iran's first American martyr
"Joseph Cochran, second-generation American missionary in Urmia; established first Iranian medical college
"Arthur Millspaugh, Treasury General, Persia
"Arthur Pope and Phyllis Ackerman, Persian culture revivalists
"David Stronach
"Elgin Groseclose, Treasury General, Persia
"John Limbert
"Justin Perkins, first American resident of Iran (1835)
"Morgan Shuster, Treasury General, Persia
"Richard Nelson Frye
"Samuel M. Jordan, namesake of Jordan Ave. in Tehran
"William M. Miller
"Annemarie Schimmel, German-born Harvard expert on Iranian literature
"Wilhelm Wassmuss, German diplomat, spy and military hero, Iran, World War I
"Tahia Kazem, wife of president Gamal Abdel Nasser; born in Egypt to Iranian parents
"Nusrat Bhutto, Iranian father and mother moved with family to Karachi, British India, before partition; married Zulfikar Ali Bhutto; father of Benazir Bhutto
"List of Iran-related topics
"List of people by nationality
"Iranian peoples
"Lists of Iranian peopleHidden categories: Use dmy dates from July 2014Dynamic lists
