"Chester A. Arthur (1829–1886), 20th Vice President and 21st President of the United States — Schenectady
"Grace VanderWaal (born 2004), singer-songwriter, ukuleleist, and winner of America's Got Talent season 11
"Luther Vandross (1951–2005), singer
"Jeremy Wall, jazz musician
"Luke Walter Jr. (1947–1996), Belgian musician
"Grover Washington, Jr. (1943–1999), saxophonist
"Gerard Way (born 1977), pop punk-alternative/punk/emo rock musician, singer-songwriter, comic book writer, actor, and former lead singer of My Chemical Romance
"Alex Webster (born 1969), bassist (Cannibal Corpse)
"Mary Weiss (born 1948), singer (The Shangri-Las)
"Cory Wells (born 1942), singer
"Patrick Wilson (born 1969), drummer
"Jack Yellen (1892–1991), lyricist, composer
"2Pac (1971–1996), rapper, record producer, actor, and poet
"50 Cent (born 1975), rapper, actor, businessman, and actor
"ASAP Rocky (born 1988), rapper, record producer, director, actor and model
"Beastie Boys
"Big L (1974–1999), hip-hop recording artist
"Busta Rhymes (born 1972), hip hop recording artist, actor, record producer and record executive.
"Cam'ron (born 1976), rapper, actor, and entrepreneur
"Sean Combs (born 1969), rapper, singer, songwriter, actor, record producer and entrepreneur also known as P. Diddy, Puff Daddy, or Diddy
"Desiigner (born 1997), rapper, singer, songwriter, record producer, record executive and actor
"DMX (born 1970), rapper, record producer, and actor
"Jay Z (born 1969), rapper, businessman, investor, and actor
"Jim Jones (1931–1978), hip-hop recording artist
"KRS-One (born 1965), rapper and occasional producer
"Lil' Kim (born 1975), rapper, songwriter, record producer, model, and actress
"LL Cool J (born 1968), rapper, actor, and host of Spike TV's Lip Sync Battle
"Matisyahu (1979), rapper, reggae vocalist, beatboxer, and alternative rock musician
"MF Doom (born 1971), rapper and record producer
"Mobb Deep
"Mos Def (born 1973), hip hop recording artist, actor and activist
"Nas (born 1973), hip hop recording artist, record producer, actor and entrepreneur
"The Notorious B.I.G. (1972–1997), rapper and actor also known as 'Biggie Smalls or Biggie
"Onyx
"Post Malone (born 1995), rapper, singer, songwriter and record producer
"Rakim (born 1968), rapper
"Run DMC
"Juelz Santana (born 1982), rapper and actor
"A Tribe Called Quest
"Freaky Tah (1971–1999), rapper
"Wu-Tang Clan
"Adam Yauch (1964–2012), rapper, singer, musician, songwriter, director and film distributor
"AJR (2005–), indie pop band
"American Authors (2006–), pop rock band
"Beastie Boys (1979–2014), hip hop/hardcore punk band
"Blondie (1974–), new wave-punk rock band
"Cobra Starship (2006–2015), dance-pop band
"KISS (1973–), hard rock band
"Goo Goo Dolls (1985–), alternative-pop rock band
"Ramones (1974–1996), punk rock band
"Steely Dan (1972–), jazz rock band
"Twisted Sister (1972–), heavy metal band
"X Ambassadors (2009–), alternative/pop rock band
"Samuel Hopkins Adams, muckraker, born in Dunkirk
"Scott Adams (born 1957), cartoonist, creator of Dilbert
"George Worsley Adamson (1913–2005), illustrator and cartoonist
"Marv Albert (born 1941), basketball announcer on TNT
"Nahshon Dion Anderson (born 1978), actor and writer; lives in the Bronx
"Susan B. Anthony, women's rights activist
"Cory Arcangel (born 1978), artist
"William Bliss Baker (1859–1886), landscape painter
"Lauren Belfer, author
"J. Bowyer Bell (1931–2003), historian, artist and art critic
"Timothy D. Bellavia (born 1971), artist and illustrator
"Louise Blanchard Bethune (1856–1913), architect
"Wolf Blitzer (born 1948), CNN journalist, host of The Situation Room
"Lawrence Block (born 1938), author
"Howard Bloom (born 1943), author
"Joseph Brodsky (1940–1996), Russian-American poet
"Dale Brown (born 1956), author
"Gordon Bunshaft (1909–1990), architect
"Charles E. Burchfield (1893–1967), artist
"Charles Clough (born 1951), artist
"Anderson Cooper (born 1967), CNN journalist and television personality
"Bob Costas (born 1952), longtime broadcaster on NBC Sports, television host of twelve Olympic Games
"Burton Crane (1901–1963), journalist
"Robert Creeley (1926–2005), poet
"Jasper Francis Cropsey (1823–1900), artist
